iter	Passed	Remaining
403	11999	17701
404	12028	17670
405	12060	17644
406	12090	17615
407	12119	17584
408	12149	17555
409	12181	17528
410	12210	17498
411	12239	17468
412	12268	17437
413	12298	17407
414	12327	17378
415	12357	17347
416	12388	17320
417	12417	17289
418	12445	17257
419	12475	17227
420	12505	17198
421	12538	17173
422	12567	17143
423	12597	17113
424	12628	17085
425	12658	17055
426	12687	17026
427	12718	16997
428	12746	16965
429	12776	16936
430	12805	16905
431	12835	16876
432	12865	16846
433	12894	16816
434	12923	16785
435	12953	16756
436	12983	16726
437	13013	16697
438	13044	16669
439	13075	16641
440	13104	16611
441	13136	16583
442	13166	16554
443	13196	16525
444	13226	16495
445	13255	16465
446	13285	16436
447	13316	16408
448	13346	16378
449	13376	16348
450	13406	16319
451	13435	16289
452	13466	16260
453	13495	16230
454	13526	16201
455	13555	16172
456	13587	16144
457	13618	16115
458	13647	16086
459	13678	16057
460	13709	16028
461	13739	16000
462	13770	15971
463	13801	15942
464	13830	15912
465	13859	15881
466	13891	15854
467	13921	15825
468	13951	15795
469	13984	15770
470	14014	15740
471	14044	15710
472	14074	15680
473	14103	15650
474	14134	15621
475	14163	15591
476	14193	15562
477	14223	15532
478	14252	15502
479	14282	15472
480	14314	15445
481	14346	15417
482	14375	15386
483	14405	15357
484	14434	15327
485	14489	15323
486	14531	15307
487	14569	15285
488	14600	15257
489	14629	15226
490	14659	15196
491	14690	15168
492	14719	15137
493	14748	15107
494	14779	15078
495	14809	15048
496	14839	15018
497	14869	14989
498	14900	14960
499	14932	14932
500	14962	14902
501	14996	14876
502	15024	14845
503	15057	14818
504	15088	14789
505	15118	14759
506	15147	14729
507	15178	14700
508	15207	14669
509	15238	14640
510	15269	14612
511	15302	14585
512	15334	14557
513	15366	14529
514	15396	14499
515	15430	14473
516	15462	14445
517	15494	14418
518	15526	14390
519	15561	14364
520	15592	14335
521	15623	14306
522	15654	14277
523	15687	14250
524	15718	14221
525	15749	14192
526	15780	14163
527	15810	14133
528	15842	14105
529	15871	14074
530	15903	14046
531	15933	14016
532	15963	13987
533	15994	13957
534	16022	13926
535	16052	13895
536	16081	13865
537	16110	13834
538	16141	13805
539	16170	13774
540	16199	13744
541	16229	13713
542	16258	13683
543	16285	13651
544	16316	13621
545	16345	13591
546	16374	13560
547	16405	13531
548	16437	13502
549	16468	13474
550	16501	13446
551	16531	13416
552	16560	13386
553	16589	13355
554	16619	13325
555	16648	13294
556	16680	13266
557	16710	13236
558	16739	13206
559	16768	13175
560	16798	13145
561	16828	13115
562	16858	13085
563	16888	13055
564	16917	13024
565	16947	12994
566	16977	12965
567	17009	12936
568	17040	12907
569	17070	12877
570	17099	12847
571	17129	12816
572	17159	12787
573	17189	12757
574	17218	12726
575	17246	12695
576	17275	12665
577	17305	12634
578	17334	12604
579	17362	12572
580	17392	12542
581	17421	12512
582	17450	12481
583	17480	12452
584	17510	12421
585	17539	12391
586	17567	12360
587	17596	12329
588	17626	12299
589	17657	12270
590	17686	12240
591	17716	12209
592	17745	12179
593	17774	12148
594	17804	12119
595	17836	12090
596	17865	12059
597	17895	12029
598	17928	12002
599	17956	11970
600	17984	11939
601	18014	11909
602	18042	11878
603	18070	11847
604	18099	11816
605	18128	11786
606	18156	11755
607	18185	11725
608	18213	11693
609	18240	11661
610	18269	11631
611	18296	11600
612	18326	11569
613	18357	11540
614	18385	11509
615	18413	11478
616	18442	11448
617	18471	11417
618	18499	11386
619	18527	11355
620	18557	11325
621	18587	11295
