iter	MultiClass
0	2.530716105
1	2.072258362
2	1.813990356
3	1.604603593
4	1.412873072
5	1.284940425
6	1.156598755
7	1.073808764
8	0.9751803385
9	0.900450655
10	0.821360624
11	0.7629765573
12	0.7053003529
13	0.6551489318
14	0.6100265265
15	0.5684146628
16	0.5336198585
17	0.5008991973
18	0.4734613633
19	0.4457343321
20	0.4216408751
21	0.3997381272
22	0.3785457696
23	0.3605329138
24	0.3413363591
25	0.321874618
26	0.3058482349
27	0.2887062068
28	0.2735296793
29	0.2620897532
30	0.2509476208
31	0.239460909
32	0.2299881504
33	0.2194195169
34	0.2093009812
35	0.2005881083
36	0.1926082865
37	0.185299611
38	0.1774881192
39	0.171397358
40	0.1659183134
41	0.1600265599
42	0.1547570908
43	0.1493697598
44	0.143775313
45	0.1393777245
46	0.1346178337
47	0.1304601253
48	0.1261228891
49	0.1221131488
50	0.1186578193
51	0.1150439094
52	0.1113123468
53	0.1078927816
54	0.1045324661
55	0.1017860307
56	0.09912145398
57	0.09708766662
58	0.09535413269
59	0.09294344772
60	0.09069824001
61	0.08859337932
62	0.08656871494
63	0.08453123088
64	0.08282615108
65	0.08105642949
66	0.07940668993
67	0.07765836374
68	0.0762279928
69	0.07457250113
70	0.07288479366
71	0.07137108672
72	0.06997547584
73	0.06862146288
74	0.0675359518
75	0.06650280768
76	0.0653850264
77	0.06431690083
78	0.06307512766
79	0.06220012622
80	0.06151986844
81	0.06041611247
82	0.05947213932
83	0.0581018537
84	0.05713886231
85	0.05606267959
86	0.05494331838
87	0.05369807798
88	0.05287265888
89	0.05199699307
90	0.05138055821
91	0.05029724133
92	0.04947324464
93	0.04845671564
94	0.04760652797
95	0.04689854382
96	0.0462567019
97	0.0456013283
98	0.04496668249
99	0.04454363385
100	0.04392996347
101	0.0434604224
102	0.04270719047
103	0.04192407625
104	0.04144218231
105	0.04082147855
106	0.04034885779
107	0.03967312823
108	0.03919997907
109	0.03870872205
110	0.03810784443
111	0.03758624345
112	0.03706475994
113	0.03659083747
114	0.03615470289
115	0.03554992041
116	0.03513094495
117	0.03478842595
118	0.03426026662
119	0.03386514932
120	0.03352035186
121	0.03309606503
122	0.03270375385
123	0.03245403486
124	0.03205487239
125	0.03174319441
126	0.03143859868
127	0.031213825
128	0.03088936192
129	0.03041109063
130	0.03010190623
131	0.02981721502
132	0.02958328677
133	0.02929292819
134	0.02906247397
135	0.02877040502
136	0.02844472057
137	0.02820753041
138	0.02795217855
139	0.0276891088
140	0.02751989339
141	0.02722565245
142	0.02699733248
143	0.02674701799
144	0.02650975609
145	0.02632652386
146	0.02608598888
147	0.02573634512
148	0.02549078497
149	0.02521794556
150	0.02505140191
151	0.0248738901
152	0.02465294283
153	0.02447137503
154	0.02414173616
155	0.02388583126
156	0.02373270483
157	0.02350107294
158	0.02330301665
159	0.0230682072
160	0.02291148371
161	0.02274915692
162	0.02256777258
163	0.0223733153
164	0.02222215098
165	0.02209260939
166	0.02192358144
167	0.02176593741
168	0.02165146555
169	0.02154080505
170	0.02140432662
171	0.02125026569
172	0.02110033453
173	0.02096397749
174	0.02075628777
175	0.02065062641
176	0.02051752108
177	0.02038121544
178	0.02022027555
179	0.02011893023
180	0.01992240374
181	0.01982801581
182	0.01971554479
183	0.01956754901
184	0.01940911371
185	0.01926171922
186	0.01908107242
187	0.01894808663
188	0.01884142188
189	0.01873255188
190	0.01863793128
191	0.01848090348
192	0.01837848761
193	0.01827687164
194	0.01817252129
195	0.01802983721
196	0.0178887435
197	0.01775863609
198	0.01767142711
199	0.0176106902
200	0.01751370072
201	0.01738439399
202	0.01727755335
203	0.0171465873
204	0.01706033116
205	0.01699123498
206	0.01687774719
207	0.01679797686
208	0.01673515507
209	0.01659494461
210	0.01646098624
211	0.01638141583
212	0.01629435627
213	0.01618873978
214	0.01607820076
215	0.01598727759
216	0.01591521817
217	0.01583488728
218	0.01572468372
219	0.01563961236
220	0.01553010584
221	0.01546713577
222	0.01542139791
223	0.01535614134
224	0.01530179962
225	0.01523225991
226	0.01516510166
227	0.01507810131
228	0.01500534842
229	0.01493532879
230	0.01487577264
231	0.0147737464
232	0.01468860501
233	0.0146149067
234	0.01450590222
235	0.0143959936
236	0.01432497489
237	0.01426154657
238	0.01418830002
239	0.01410158002
240	0.01401531006
241	0.01393921164
242	0.01389156596
243	0.0138384959
244	0.01376973244
245	0.01370614645
246	0.01363751949
247	0.01354346582
248	0.01347353068
249	0.01341633094
250	0.01336008931
251	0.01329801365
252	0.01318192561
253	0.01311673277
254	0.01304496531
255	0.01300482873
256	0.01295344764
257	0.01289627601
258	0.01283753542
259	0.01277480921
260	0.0127240625
261	0.01265380185
262	0.01260469501
263	0.01256121369
264	0.01250723077
265	0.01244432046
266	0.01239624366
267	0.01235460244
268	0.0122852562
269	0.01222995349
270	0.01219634598
271	0.01215449978
272	0.01209640672
273	0.0120453067
274	0.01199070581
275	0.01191560157
276	0.01186961852
277	0.01182183948
278	0.01174680301
279	0.01170691013
280	0.01163990909
281	0.01160182088
282	0.01154314096
283	0.01148193085
284	0.01143808064
285	0.0114070048
286	0.01136722166
287	0.01131631032
288	0.01127347847
289	0.01123943436
290	0.01117927382
291	0.01115071835
292	0.01110551505
293	0.01106456735
294	0.01102336233
295	0.01099262226
296	0.01095979912
297	0.01091091787
298	0.01086993312
299	0.01082401742
300	0.01078359425
301	0.0107389462
302	0.01069575252
303	0.01065212426
304	0.01058088637
305	0.01053866227
306	0.01049389388
307	0.01045081503
308	0.01039731602
309	0.01036309164
310	0.01034239446
311	0.01029180122
312	0.0102674655
313	0.01021949761
314	0.01017473146
315	0.01010175798
316	0.01005982302
317	0.01001607844
318	0.009982857759
319	0.009942714941
320	0.009914322529
321	0.009870301126
322	0.009831817217
323	0.009799665384
324	0.009768076015
325	0.009732951558
326	0.009690074862
327	0.009666259835
328	0.009632800307
329	0.009595105062
330	0.009569713793
331	0.009538759498
332	0.009513069276
333	0.00948120272
334	0.00944622883
335	0.009410695247
336	0.009368219862
337	0.009327164036
338	0.009297078067
339	0.009261033651
340	0.009236712846
341	0.009194179524
342	0.009150632702
343	0.009126501135
344	0.009101968304
345	0.009075802885
346	0.009037605113
347	0.009013994745
348	0.00898144501
349	0.008955901727
350	0.008933445035
351	0.008909758295
352	0.008874288529
353	0.008842527909
354	0.00880621632
355	0.008782421735
356	0.0087664277
357	0.008736086914
358	0.008712223353
359	0.008692181305
360	0.008655310321
361	0.00862731557
362	0.008603338936
363	0.008567726963
364	0.008546040457
365	0.00851746728
366	0.008492891345
367	0.008473287197
368	0.008448408315
369	0.008425561287
370	0.008398769437
371	0.008365888704
372	0.008341357272
373	0.00832106452
374	0.008294651122
375	0.008271880738
376	0.008242674954
377	0.008212028959
378	0.008178402447
379	0.008152769348
380	0.008134833265
381	0.008115523052
382	0.008082540207
383	0.008055917249
384	0.00802452056
385	0.007992971647
386	0.007970135793
387	0.007925312489
388	0.007897870755
389	0.007858927602
390	0.00783597725
